term	canonical	collapse_strategy	matcher_type	ud_reference	spacy_rule_hint	project_relation_type	confidence
at edge of	at_edge_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	high
attached from	attached_from	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
attached on	attached_on	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
attached to	attached_to	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
back of	back_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	medium
built from	built_from	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	high
built of	made_of	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	medium
built out of	built_out_of	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	high
center of	center_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	medium
close to	near	multiword_adposition_phrase	PhraseMatcher longest span	UD fixed or case chain	match longest surface span before interpreting dependency edges	spatial_proximity	high
composed of	made_of	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	high
connected from	connected_from	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
connected on	connected_on	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
connected to	connected_to	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
constructed of	made_of	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	medium
covered by	covered_by	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	surface_relation	high
covered in	covered_with	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	surface_relation	high
covered with	covered_with	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	surface_relation	high
edge of	edge_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	medium
front of	in_front_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_depth	high
hanging from	hanging_from	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
hanging on	hanging_on	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
hanging to	hanging_to	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
in back of	behind	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_depth	high
in center of	center_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	high
in front of	in_front_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_depth	high
in middle of	middle_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	high
in the back of	behind	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_depth	high
in the center of	center_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	high
in the front of	in_front_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_depth	high
in the middle of	middle_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	high
inside of	inside	multiword_adposition_phrase	PhraseMatcher longest span	UD fixed or case chain	match longest surface span before interpreting dependency edges	spatial_containment	high
interacts with	interacts_with	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	action_relation	high
laying beside	laying_beside	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
laying in	laying_in	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
laying near	laying_near	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
laying next to	laying_next_to	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
laying on	lying_on	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_support	high
laying under	laying_under	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
leaning against	leaning_against	multiword_adposition_phrase	PhraseMatcher longest span	UD fixed or case chain	match longest surface span before interpreting dependency edges	spatial_contact	high
leaning on	leaning_on	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_support	high
left of	left_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_lateral	high
looking at	looking_at	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	perception_relation	high
lying beside	lying_beside	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
lying in	lying_in	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
lying near	lying_near	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
lying next to	lying_next_to	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
lying on	lying_on	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_support	high
lying under	lying_under	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
made from	made_of	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	high
made of	made_of	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	high
made out of	made_of	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	high
middle of	middle_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	medium
mounted from	mounted_from	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
mounted on	mounted_on	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
mounted to	mounted_to	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
near to	near	multiword_adposition_phrase	PhraseMatcher longest span	UD fixed or case chain	match longest surface span before interpreting dependency edges	spatial_proximity	high
next to	next_to	multiword_adposition_phrase	PhraseMatcher longest span	UD fixed or case chain	match longest surface span before interpreting dependency edges	spatial_proximity	high
on front of	in_front_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_depth	high
on side of	side_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_lateral	high
on top of	on_top_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_support	high
outside of	outside	multiword_adposition_phrase	PhraseMatcher longest span	UD fixed or case chain	match longest surface span before interpreting dependency edges	spatial_outside	high
parked beside	parked_beside	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
parked in	parked_in	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
parked near	parked_near	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
parked next to	parked_next_to	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
parked on	parked_on	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	state_support	high
parked under	parked_under	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
part of	part_of	multiword_relation_phrase	PhraseMatcher longest span	UD fixed/MWE reference	match full surface span as relation candidate	part_relation	high
pointing at	pointing_at	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	action_relation	high
right of	right_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_lateral	high
running beside	running_beside	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
running in	running_in	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
running near	running_near	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
running next to	running_next_to	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
running on	running_on	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
running under	running_under	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
side of	side_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_lateral	high
sitting beside	sitting_beside	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
sitting in	sitting_in	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
sitting near	sitting_near	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
sitting next to	sitting_next_to	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
sitting on	sitting_on	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_support	high
sitting under	sitting_under	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
standing beside	standing_beside	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
standing in	standing_in	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
standing near	standing_near	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
standing next to	standing_next_to	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
standing on	standing_on	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_support	high
standing under	standing_under	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
surrounded by	surrounded_by	multiword_adposition_phrase	PhraseMatcher longest span	UD fixed or case chain	match longest surface span before interpreting dependency edges	spatial_proximity	high
to left of	left_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_lateral	high
to right of	right_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_lateral	high
to the left of	left_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_lateral	high
to the right of	right_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_lateral	high
walking beside	walking_beside	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
walking in	walking_in	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
walking near	walking_near	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
walking next to	walking_next_to	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
walking on	walking_on	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	high
walking under	walking_under	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	pose_location	medium
worn by	worn_by	predicate_plus_adposition_or_object	DependencyMatcher	VERB/VBG/VBN predicate with pobj/obl/dobj argument	match predicate lemma and attached preposition/object argument	wearing_relation	high
