term	canonical	surface_sources	source_detail	is_multiword	confidence	visual_whitelist	vg_count	gqa_count	openimages_triplet_count
at edge of	at_edge_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	212	0	0
attached from	attached_from	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	2	0	0
attached on	attached_on	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	no	88	0	0
attached to	attached_to	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	9668	279	0
back of	back_of	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	96	0	0
built from	built_from	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	2	0	0
built of	made_of	tpp_pdep_visual_seed|visual_genome_predicate_surface	manual_relation_seed|visual_genome_relationship_count	yes	medium	no	4	0	0
built out of	built_out_of	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	1	0	0
center of	center_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	19	0	0
close to	near	gqa_scene_graph_relation_surface|streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	609	160	0
composed of	made_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	23	0	0
connected from	connected_from	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	2	0	0
connected on	connected_on	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	3	0	0
connected to	connected_to	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	852	110	0
constructed of	made_of	tpp_pdep_visual_seed|visual_genome_predicate_surface	manual_relation_seed|visual_genome_relationship_count	yes	medium	no	6	0	0
covered by	covered_by	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	358	1682	0
covered in	covered_with	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	2249	746	0
covered with	covered_with	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	1294	456	0
edge of	edge_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	25	0	0
front of	in_front_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	540	0	0
hanging from	hanging_from	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	5412	1051	0
hanging on	hanging_on	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	5412	1622	0
hanging to	hanging_to	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	6	0	0
in back of	behind	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	491	0	0
in center of	center_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	218	0	0
in front of	in_front_of	gqa_scene_graph_relation_surface|streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	13204	21626	0
in middle of	middle_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	1260	0	0
in the back of	behind	tpp_pdep_visual_seed	manual_relation_seed	yes	high	yes	0	0	0
in the center of	center_of	tpp_pdep_visual_seed	manual_relation_seed	yes	high	yes	0	0	0
in the front of	in_front_of	tpp_pdep_visual_seed	manual_relation_seed	yes	high	yes	0	0	0
in the middle of	middle_of	streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface	manual_relation_seed|streusle_mwe|visual_genome_relationship_count	yes	high	yes	1	0	0
inside of	inside	openimages_predicate_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	225353	0	48
interacts with	interacts_with	openimages_predicate_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_count	yes	high	yes	2	0	89
laying beside	laying_beside	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	25	0	0
laying in	laying_in	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	1004	0	0
laying near	laying_near	visual_genome_predicate_surface	visual_genome_relationship_count	yes	medium	no	24	0	0
laying next to	laying_next_to	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	73	0	0
laying on	lying_on	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	3545	0	0
laying under	laying_under	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	38	0	0
leaning against	leaning_against	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	603	256	0
leaning on	leaning_on	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	987	393	0
left of	left_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	390	0	0
looking at	looking_at	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	2984	1455	0
lying beside	lying_beside	visual_genome_predicate_surface	visual_genome_relationship_count	yes	medium	no	7	0	0
lying in	lying_in	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	657	371	0
lying near	lying_near	visual_genome_predicate_surface	visual_genome_relationship_count	yes	medium	no	43	0	0
lying next to	lying_next_to	gqa_scene_graph_relation_surface|visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	yes	211	32	0
lying on	lying_on	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	1802	1608	0
lying under	lying_under	visual_genome_predicate_surface	visual_genome_relationship_count	yes	medium	no	16	0	0
made from	made_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	116	0	0
made of	made_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	2332	0	0
made out of	made_of	tpp_pdep_visual_seed|visual_genome_predicate_surface	manual_relation_seed|visual_genome_relationship_count	yes	high	yes	79	0	0
middle of	middle_of	tpp_pdep_visual_seed|visual_genome_predicate_surface	manual_relation_seed|visual_genome_relationship_count	yes	medium	no	41	0	0
mounted from	mounted_from	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	2	0	0
mounted on	mounted_on	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	2220	274	0
mounted to	mounted_to	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	195	63	0
near to	near	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	73	0	0
next to	next_to	gqa_scene_graph_relation_surface|streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	26445	10810	0
on front of	in_front_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	667990	0	0
on side of	side_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	26445	0	0
on top of	on_top_of	gqa_scene_graph_relation_surface|streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	31575	11336	0
outside of	outside	streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	459	0	0
parked beside	parked_beside	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	124	51	0
parked in	parked_in	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	920	331	0
parked near	parked_near	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	272	101	0
parked next to	parked_next_to	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	268	100	0
parked on	parked_on	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	2653	968	0
parked under	parked_under	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	41	0	0
part of	part_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	1927	0	0
pointing at	pointing_at	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	99	34	0
right of	right_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	229	0	0
running beside	running_beside	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	7	0	0
running in	running_in	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	217	66	0
running near	running_near	visual_genome_predicate_surface	visual_genome_relationship_count	yes	medium	no	5	0	0
running next to	running_next_to	visual_genome_predicate_surface	visual_genome_relationship_count	yes	medium	no	6	0	0
running on	running_on	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	362	133	0
running under	running_under	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	8	0	0
side of	side_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	206	0	0
sitting beside	sitting_beside	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	75	50	0
sitting in	sitting_in	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	13782	1194	0
sitting near	sitting_near	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	140	56	0
sitting next to	sitting_next_to	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	312	157	0
sitting on	sitting_on	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	13782	5590	0
sitting under	sitting_under	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	139	52	0
standing beside	standing_beside	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	248	103	0
standing in	standing_in	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	7594	1845	0
standing near	standing_near	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	744	299	0
standing next to	standing_next_to	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	1176	501	0
standing on	standing_on	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	7594	2956	0
standing under	standing_under	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	179	68	0
surrounded by	surrounded_by	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	460	506	0
to left of	left_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	542	0	0
to right of	right_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	632	0	0
to the left of	left_of	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed	manual_relation_seed	yes	high	yes	0	1929591	0
to the right of	right_of	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed	manual_relation_seed	yes	high	yes	0	1929591	0
walking beside	walking_beside	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	81	0	0
walking in	walking_in	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	1660	575	0
walking near	walking_near	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	154	67	0
walking next to	walking_next_to	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	113	49	0
walking on	walking_on	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	4416	1862	0
walking under	walking_under	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	55	0	0
worn by	worn_by	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	1512	0	0
